,0,1,2,3,4,5,6
0,data,tp,bc candidates,ac candidates,bc htis,ac hits,intersection
1,WormsTwoClass,258,517,517,106,108,511
2,ProximalPhalanxOutlineCorrect,891,1783,1783,829,829,1775
3,FaceFour,112,225,225,52,50,218
4,Lighting7,143,287,287,54,52,279
5,Meat,120,241,241,112,112,234
6,Strawberry,983,1967,1967,977,977,1958
7,OSULeaf,442,885,885,216,216,878
8,Car,120,241,241,118,118,235
9,Beef,60,121,121,54,15,115
10,FISH,350,701,701,322,323,693
11,MiddlePhalanxOutlineCorrect,891,1783,1783,826,826,1775
12,ToeSegmentation1,268,537,537,166,164,531
13,BeetleFly,40,81,81,16,10,75
14,Gun_Point,200,401,401,159,110,394
15,Ham,214,429,429,174,174,421
16,Cricket_X,780,1561,1561,320,318,1552
17,OliveOil,60,121,121,53,53,115
18,Herring,128,257,257,112,112,252
19,SonyAIBORobotSurfaceII,980,1961,1961,722,719,1953
20,synthetic_control,600,1201,1201,296,298,1192
21,ProximalPhalanxOutlineAgeGroup,605,1211,1211,560,560,1203
22,Cricket_Y,780,1561,1561,350,351,1552
23,SonyAIBORobotSurface,621,1243,1243,433,433,1232
24,Plane,210,421,421,202,152,415
25,ProximalPhalanxTW,605,1211,1211,563,563,1203
26,Trace,200,401,401,174,174,391
27,Wine,111,223,223,100,84,217
28,ItalyPowerDemand,1096,2193,2193,986,893,2184
29,ArrowHead,211,423,423,185,185,417
30,Cricket_Z,780,1561,1561,324,326,1552
31,Worms,258,517,517,104,105,509
32,TwoLeadECG,1162,2325,2325,1125,1125,2316
33,DistalPhalanxTW,539,1079,1079,473,473,1072
34,Coffee,56,113,113,45,18,109
35,MiddlePhalanxOutlineAgeGroup,554,1109,1109,519,520,1099
36,BirdChicken,40,81,81,31,18,76
37,CBF,930,1861,1861,311,310,1852
38,DistalPhalanxOutlineCorrect,876,1753,1753,756,757,1744
39,ECGFiveDays,884,1769,1769,819,819,1760
40,Lighting2,121,243,243,53,49,235
41,PhalangesOutlinesCorrect,2658,5317,5317,2422,2423,5307
42,DiatomSizeReduction,322,645,645,318,318,639
43,ShapeletSim,200,401,401,3,3,394
44,MiddlePhalanxTW,553,1107,1107,519,519,1097
45,MedicalImages,1141,2283,2283,905,905,2274
46,SwedishLeaf,1125,2251,2251,834,833,2242
47,Earthquakes,461,923,923,15,15,914
48,Adiac,781,1563,1563,757,757,1553
49,ECG200,200,401,401,168,119,393
50,DistalPhalanxOutlineAgeGroup,539,1079,1079,495,495,1069
51,MoteStrain,1272,2545,2545,979,979,2535
52,ToeSegmentation2,166,333,333,109,109,324
53,50words,905,1811,1811,561,557,1802
54,WordsSynonyms,905,1811,1811,572,574,1803
